Restaurant name,Link in manta,Manta verified,Street address,City,State,Postal code,Phone number,Website,Description
Restaurant Booths Inc.,https://www.manta.com/c/mxjl0bv/restaurant-booths-inc,True,130 North Ave 64,Los Angeles,CA,90042,(323) 474-4748,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.restaurantboothsupholstery.com&s=61dc1be4ed6619060fbd735b5d30afab&cb=3970302&emid=mxjl0bv,"Restaurant Booths Inc, is a provider of restaurant booths upholstery services in Los Angeles, California. Restaurant Booths Manufacturer. Booths."
Crispy Pork Gang,https://www.manta.com/c/mb8kc8z/crispy-pork-gang,False,5253 Hollywood Boulevard,Los Angeles,CA,90027,(323) 465-9796,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.crispyporkgangla.com%2F&s=e7a7bfde5b4a5624ef6984cbacd34891&cb=3970304&emid=mb8kc8z,Crispy Pork Gang
Caravan Restaurant,https://www.manta.com/c/mm7rt1l/caravan-restaurant,False,1108 West Glenoaks Boulevard,Glendale,CA,91202,(818) 550-9951,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fcaravanrestaurantglendale.com%2F&s=d6743da406af71077329a7b85ed55edd&cb=3970304&emid=mm7rt1l,Caravan Restaurant
Il Piccolo Verde,https://www.manta.com/c/mx5vr56/il-piccolo-verde,False,140 S Barrington Pl,Los Angeles,CA,90049,(310) 472-4939,https://www.manta.com/urlverify?redirect=http%3A%2F%2Filpiccoloverde.com%2F&s=aee00688bf72bcf7673077036995aa77&cb=3977933&emid=mx5vr56,
CQBooths,https://www.manta.com/c/mx4ry3r/cqbooths,False,2630 Strozier Ave. Unit C,El Monte,CA,91733,(626) 415-7465,,
Lloyds Fish and Fries,https://www.manta.com/c/mwfmnql/lloyds-fish-and-fries,False,1700 East Walnut,Los Angeles,CA,90245,(310) 123-1234,,All Other Traveler Accommodation
Pilot Light Hospitality,https://www.manta.com/c/mx69l6q/pilot-light-hospitality,False,4357 Neosho Ave,Los Angeles,CA,90018,(855) 649-5889,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fpilotlighthospitality.com%2F&s=c203a92a059185ba06959e6299f66778&cb=3977937&emid=mx69l6q,"Pilot Light Hospitality - Full service hospitality group that aims to build, stabilize, assist, improve or rectify our hospitality partners."
C & C Canvas Inc.,https://www.manta.com/c/mx7lp8z/c-c-canvas-inc,True,10816 E. Fawcett Ave.,Los Angeles,CA,91733,(626) 422-4493,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.cccanvasinc.com&s=371d770b7ad49389ef705c85423f741a&cb=3977937&emid=mx7lp8z,C & C Canvas Inc. does canvas awnings for commercial and residential needs. As well as boat and car coversand custom items.
Spice Affair,https://www.manta.com/c/mx4yn3k/spice-affair,False,50 N La Cienega Blvd Beverly Hills,Los Angeles,CA,90211,(310) 400-6800,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.spice-affair.com%2F&s=defa288b3e7d94fa4153f03d1f3becc2&cb=3977938&emid=mx4yn3k,"Spice Affair is an Indian Restaurant in Beverly Hills, LA offers a traditional Indian dish which makes your dining experience a memorable one."
Pacific Pay Inc.,https://www.manta.com/c/mxf88kb/pacific-pay-inc,False,12631 E. Imperial Hwy Suite F 204,Santa Fe Springs,CA,90670,(888) 287-1038,,
POS SYSTEM SALES - (888) 576-0665 National POS Sales & Services,https://www.manta.com/c/mx4c043/pos-system-sales-888-576-0665-national-pos-sales-services,True,"309 E. HillCrest Blvd.,",Inglewood,CA,90301,(888) 576-0665,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.possystemsales.net&s=8842e09c10e00d4d17845ed327ea12d5&cb=3977940&emid=mx4c043,"We Supply - Restaurant Management Systems, Touch Screen POS Systems, iPad POS Solutions,. We supply the best QSR POS Systems to Fast Food Restaurants."
JustGob,https://www.manta.com/c/mxfll45/justgob,True,,Pasadena,CA,91101,,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.call4eat.com&s=0875aad55c1b7fe03363e28918503247&cb=3977940&emid=mxfll45,Our Mission Call4Eat Creating Opportunities for our strategic partners to have product marketing success. Call4Eat It's your support in food Industr
Bakery & Restaurant Equipment Repair Services,https://www.manta.com/c/mx5rlv2/bakery-restaurant-equipment-repair-services,True,7400 east slauson avenue,Commerce,CA,90040,(323) 988-1210,,We are a trusted family owned company with 20plus years of experience providing our customers with fast and affordable bakery equipment repair service
Restaurant Upholstery Hollywood 818-783-4000,https://www.manta.com/c/mx4g7xr/restaurant-upholstery-hollywood-818-783-4000,True,1511 N Cahuenga,Los Angeles,CA,90028,(818) 783-0369,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.customupholsteryservice.com&s=3a2fa667af0f0ae52c9dff878e2e0f25&cb=3977942&emid=mx4g7xr,
Plate 38,https://www.manta.com/c/mxfx966/plate-38,True,2361 East Colorado Boulevard,Pasadena,CA,91107,(626) 793-7100,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fplate38.com&s=9a63c536a58a72c37b45b30e5e542520&cb=3977942&emid=mxfx966,"Plate 38 offers well-priced breakfast, lunch, dinner entrees and daily specials, which can be enjoyed with its gourmet beers and wines."
Silo Vodka Bar,https://www.manta.com/c/mx4hyqy/silo-vodka-bar,False,225 7th St,Los Angeles,CA,90014,(213) 221-7956,,
Rico Mandel Photography,https://www.manta.com/c/mx4whfb/rico-mandel-photography,True,,Sherman Oaks,CA,91403,(805) 497-7401,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.ricomandel.com&s=3c78e9a75da529ff7c2b5cc3339a36dd&cb=3977943&emid=mx4whfb,"Food, corporate, industrial, restaurant, hotel and travel photography that shows off your business to it's best."
Native Foods Cafe,https://www.manta.com/c/mvrxgs0/native-foods-cafe,False,9343 Culver Blvd,Culver City,CA,90232,(310) 559-3601,,Chef-crafted delicious vegan food served seven days a week.
The Limestone Group LLC,https://www.manta.com/c/mxll66w/the-limestone-group-llc,True,1000 South Hope Street,Los Angeles,CA,90015,(213) 620-1877,,
Native Foods Cafe,https://www.manta.com/c/mm70kjv/native-foods-cafe,False,1110 Gayley Avenue,Los Angeles,CA,90024,(310) 209-1055,,Chef-crafted delicious vegan food made fresh seven days a week.
Hae Jang Chon Korean BBQ Restaurant,https://www.manta.com/c/mhzkpfb/hae-jang-chon-korean-bbq-restaurant,False,3821 W 6th Street,Los Angeles,CA,90020,(213) 389-8777,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.haejangchon.com%2F%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3Dgmb&s=3cf3ae0d778d9728f007ea70ca3c9db1&cb=3977945&emid=mhzkpfb,
Little Sheep Mongolian Hot Pot,https://www.manta.com/c/mx43r7v/little-sheep-mongolian-hot-pot,False,140 W Valley Blvd #213,San Gabriel,CA,91776,(626) 307-1901,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.littlesheephotpot.com%2F&s=cdb6c55b7355cddc71863e5136a36bde&cb=3977945&emid=mx43r7v,"Little Sheep Mongolian Hot Pot offers Mongolian hot pot dining, using a delicious soup made from flavorful spices and ingredients, high quality meats"
Hae Jang Chon Korean BBQ Restaurant,https://www.manta.com/c/mx4cpbd/hae-jang-chon-korean-bbq-restaurant,False,3821 W. 6th Street,Los Angeles,CA,90020,(213) 389-8777,,All you can eat Korean BBQ for only $16.99 in the heart of Koreatown Los Angeles. Open till 2:00 AM. Voted the most delectable deal in Los Angeles & S
Creme DE LA Crepe,https://www.manta.com/c/mt47v90/creme-de-la-crepe,True,6000 Sepulveda Boulevard WESTFIELD MALL,Culver City,CA,90230,(310) 391-8818,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.cremedelacrepe.com&s=bebd8534045e6cb92b7ba9a0e6ec2ba3&cb=3977946&emid=mt47v90,"Picture a Paris street café, add sunshine and a cool ocean breeze and what you get is ""la Crème de la Crêpe""...Authentic French cafés serving breakfas"
Magnolia Lounge,https://www.manta.com/c/mttty6t/magnolia-lounge,False,492 S Lake Avenue,Pasadena,CA,91101,(626) 584-1126,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fmagnoliaonlake.com&s=b7f29ff1757a8522e493381c90bc1363&cb=3977946&emid=mttty6t,Urban lounge and restaurant
La Dolce Vita,https://www.manta.com/c/mvr9yyk/la-dolce-vita,False,9785 Santa Monica Boulevard,Beverly Hills,CA,90210,(310) 278-1845,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.ladolcevitabeverlyhills.com&s=85e30ef9d6684935afce0f67b5e011c7&cb=3977947&emid=mvr9yyk,"La Dolce Vita has long been the favorite destination of the renowned and famous, from presidents and celebrities"
Hole In The Wall Burger Joint,https://www.manta.com/c/mx44s6r/hole-in-the-wall-burger-joint,False,2200 Colorado Ave.,Santa Monica,CA,90404,(310) 449-0147,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.holeinthewallburgerjoint.com%2F&s=3ef086f8efb6618b9d1c05120ac11a21&cb=3977947&emid=mx44s6r,"American Restaurant, Restaurants, Restaurant, Diner, Caterer, Catering, Hamburger Restaurant"
Palmtree L.A.,https://www.manta.com/c/mx47v69/palmtree-l-a,False,3240 Wilshire Blvd,Los Angeles,CA,90010,(213) 381-3388,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.palmtree-la.com&s=e83a4dcbfe0d44e62c7f9522663f35c1&cb=3977948&emid=mx47v69,"Korea Town is a karaoke bar hot spot, and Palm Tree L.A. fits right in as a state of the art karaoke bar."
Native Foods Cafe,https://www.manta.com/c/mms5bvj/native-foods-cafe,False,1110 Gayley Avenue,Los Angeles,CA,90024,(310) 209-1055,,Chef-crafted delicious vegan food served seven days a week.
Chronic Tacos,https://www.manta.com/c/mx4npyh/chronic-tacos,False,11308 South St.,Cerritos,CA,90703,(562) 809-8226,https://www.manta.com/urlverify?redirect=http%3A%2F%2Featchronictacos.com%2F&s=8d612665f9fbea5963666e5d5b7bd110&cb=3977948&emid=mx4npyh,"Restaurant, Fast Food Restaurant, Mexican Restaurant, Taco Restaurant"
"Dj & R Enterprise, Inc",https://www.manta.com/c/mmpwnhg/dj-r-enterprise-inc,False,"1612 N. Chico Ave, #A",South El Monte,CA,91733,(626) 579-6001,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.djrfurniture.com&s=80eb0bc87ccfb65b0e4db6edb2125ab8&cb=3977949&emid=mmpwnhg,"Wholesale restaurant chairs, banquet chairs, booths and table tops."
Security frist,https://www.manta.com/c/mx4789c/security-frist,False,11836 Downey ave Ste 105 Downey CA,Downey,CA,90241,(562) 659-7502,,
Jerusalem Pizza & Sushi,https://www.manta.com/c/mmgzpbc/jerusalem-pizza-sushi,False,17942-4 Ventura Boulevard,Encino,CA,91316,(818) 758-9595,,We work hard to perfect our homemade recipes and customer service so that you can feel right at home every time you dine with us.
Darlene's Delights,https://www.manta.com/c/mrng39m/darlene-s-delights,False,W 135th Street,Hawthorne,CA,90250,(213) 305-4442,,All types of desserts for one personal or just enough.
Centanni,https://www.manta.com/c/mt4fxxs/centanni,False,1700 Lincoln Boulevard,Venice,CA,90291,(310) 314-7275,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.centannivenice.com&s=1e40f89f94c6ce121aae214ff3e8fba3&cb=3977950&emid=mt4fxxs,Fine dining Italian cuisine at neighborhood restaurant prices. Catering available.
Yummy Yummy Seafood Buffet,https://www.manta.com/c/mrl7dg1/yummy-yummy-seafood-buffet,False,10632 Lower Azusa Rd,El Monte,CA,91731,(626) 575-1989,,This totally remodeled buffet restaurant serves over 100 types of dishes for our clients who enjoy dining in this elelgant & classic atmosphere.
Joss Cuisine Inc,https://www.manta.com/c/mm0x96h/joss-cuisine-inc,False,9919 Santa Monica Boulevard,Beverly Hills,CA,90212,(310) 277-3888,,"Joss Cuisine in Beverly Hills, CA is a private company categorized under Restaurants."
Hospitality Consultant & Coach,https://www.manta.com/c/mwzjsbb/hospitality-consultant-coach,False,11342 Weatherby Road,Rossmoor,CA,90720,(562) 221-0157,,Hospitality Coach and Consultant specializing in: Operations Evaluations & Concept Structure Financial Analysis Human Resource Training & Development
Canadian Pizza,https://www.manta.com/c/mm4v9d6/canadian-pizza,False,1241 E 4th Street,Long Beach,CA,90802,(562) 980-7605,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fmycanadianpizza.com&s=ec05677b2f908647b457f5329b024f7f&cb=3987032&emid=mm4v9d6,"Canadian Pizza is Pizza and Grill Restaurant offering Pizza Delivery in Long Beach, CA. (562) 980-7605"
Restaurant,https://www.manta.com/c/mkkl9gy/restaurant,False,215 West 6th Street,Los Angeles,CA,90014,(213) 999-6366,,
Restaurant,https://www.manta.com/c/mtk919r/restaurant,False,Serving Area,Long Beach,CA,90808,(789) 456-3214,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.restaurant.com&s=38c0c936ed30f14cca8f5b7d29ce4732&cb=3987033&emid=mtk919r,
Restaurant,https://www.manta.com/c/mbn958x/restaurant,False,Holloway Drive,West Hollywood,CA,90069,(310) 657-1333,,
Royal Indian Restaurant,https://www.manta.com/c/mtpldjm/royal-indian-restaurant,False,14511 Sylvan St,Van Nuys,CA,91411,(818) 988-1813,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.royalindian1.com&s=48101f28a583ac74caa12a8422899def&cb=3987034&emid=mtpldjm,Northern Indian Cuisine
The Vegan Joint,https://www.manta.com/c/mx5vs9z/the-vegan-joint,False,10438 National Blvd,Los Angeles,CA,90034,(310) 559-1357,https://www.manta.com/urlverify?redirect=http%3A%2F%2Ftheveganjoint.com&s=b176702fd9aeb81d6f3de48a5bb792c1&cb=3987034&emid=mx5vs9z,"Take out or enjoy the best ever delicious food at Vegan restaurant in the prime locations of Hollywood and Downtown, Los Angeles, CA."
The Coop Pizza,https://www.manta.com/c/mxfmxr5/the-coop-pizza,False,10006 National Blvd.,Los Angeles,CA,90034,(310) 837-4462,,"Family owned and operated with over 40 years of experience, we offer delicious pizza at affordable prices! Wide variety of toppings available. Takeout"
Restaurant,https://www.manta.com/c/mry9q56/restaurant,False,19901 Hamilton Avenue,Torrance,CA,90502,(310) 527-3164,,
Restaurant,https://www.manta.com/c/mkr7q0v/restaurant,False,18507 Ventura Boulevard,Tarzana,CA,91356,(818) 578-8914,,
Restaurant,https://www.manta.com/c/mbdzq6g/restaurant,False,Serving Area,Long Beach,CA,90808,(789) 456-1236,,
Shambra Restaurant Consulting,https://www.manta.com/c/mtr75qg/shambra-restaurant-consulting,False,2352 South Robertson Boulevard,Los Angeles,CA,90034,(310) 204-1201,,Shambra Restaurant Consulting
Restaurant,https://www.manta.com/c/mkwwg37/restaurant,False,829 North La Cienega Boulevard,West Hollywood,CA,90069,(424) 245-4033,,
Restaurant,https://www.manta.com/c/mkw0qjt/restaurant,False,726 North Western Avenue,Los Angeles,CA,90029,(323) 378-6698,,
Restaurant,https://www.manta.com/c/mkrqs8l/restaurant,False,4213 Crenshaw Boulevard,Los Angeles,CA,90008,(323) 815-9271,,
Restaurant,https://www.manta.com/c/mkx115h/restaurant,False,2929 North Broadway,Los Angeles,CA,90031,(323) 576-2333,,
Restaurant,https://www.manta.com/c/mkkqp3v/restaurant,False,4437 Sepulveda Boulevard,Culver City,CA,90230,(424) 500-2700,,
Restaurant,https://www.manta.com/c/mk1w6dp/restaurant,False,110 East Foothill Boulevard,Arcadia,CA,91006,(626) 461-5712,,
Restaurant,https://www.manta.com/c/mkkqct4/restaurant,False,6250 York Boulevard,Los Angeles,CA,90042,(323) 341-7052,,
Restaurant,https://www.manta.com/c/mkkgmv8/restaurant,False,4020 West Martin Luther King Jr Boulevard,Los Angeles,CA,90008,(323) 815-9262,,
Restaurant,https://www.manta.com/c/mkxtgxn/restaurant,False,11918 Aviation Boulevard,Inglewood,CA,90304,(424) 348-8060,,
Brewdog Pub,https://www.manta.com/c/mx4jmv1/brewdog-pub,False,8300 Wilshire Blvd.,Los Angeles,CA,90048,(323) 852-8722,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.brewdogpub.com%2F&s=079d5669a3774aaa2c8c746765ae3d5d&cb=3987038&emid=mx4jmv1,"Live Music Venue, Bar, Restaurant"
The Diplomat Tavern,https://www.manta.com/c/mh1gd40/the-diplomat-tavern,False,109 E Lemon Ave,Monrovia,CA,91016,(626) 239-0100,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.diplomattavern.com&s=a2acab5e27c729434cf43021d3a92012&cb=3987039&emid=mh1gd40,"The Diplomat Tavern Restaurant Specialties in lunch, dinner and drinks including Mediterranean Salad, Sandwich Combos, Soups, cocktails, Platters."
China Buffett,https://www.manta.com/c/mmjcq08/china-buffett,False,3525 Pacific Coast Highway # G,Torrance,CA,90505,(310) 325-8424,,Buffet Restaurant Chain
Restaurant,https://www.manta.com/c/mkhy09b/restaurant,False,17905 South Western Avenue,Gardena,CA,90248,(310) 400-7789,,
Restaurant,https://www.manta.com/c/mkxbvrt/restaurant,False,1636 Westwood Boulevard,Los Angeles,CA,90024,(424) 273-4858,,
